No.,IUPAC_Name,SMILES,Td/K,doi
entry82,"N,N'-(2H,2'H-[3,3'-bi(1,2,4-triazole)]-5,5'-diylbis(1,2,5-oxadiazole-4,3-diyl))dinitramide",[N-]=[N+]=NC1=NON=C1C2=NNC(C3=NC(C4=NON=C4N=[N+]=[N-])=NN3)=N2,452.15,10.1039/d0dt00498g
entry83,"N,N'-(1H,1'H-[5,5'-bitetrazole]-1,1'-diyl)dinitramide",ON1N=NN=C1/N=N/C2=NN=NN2O,443.15,10.1002/chem.201203493
entry84,"N,N'-(1,2,5-oxadiazole-3,4-diyl)dinitramide",[O-][N+]1=C(C#N)C(C#N)=NO1,477.15,10.3390/molecules25245836
entry85,"N,N'-([5,5'-bi(1,2,4-oxadiazole)]-3,3'-diylbis(1,2,5-oxadiazole-4,3-diyl))dinitramide",O=[N+](NC1=NON=C1C2=NN=C(N=NC3=NN=C(C4=NON=C4N[N+]([O-])=O)O3)O2)[O-],521.15,10.1021/acs.cgd.8b01404
entry86,"N,N'-([5,5'-bi(1,2,4-oxadiazole)]-3,3'-diylbis(1,2,5-oxadiazole-4,3-diyl))dinitramide",O=[N+](C1=C(OC2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2)C([N+]([O-])=O)=C(OC3=CC=C([N+]([O-])=O)C=C3[N+]([O-])=O)C([N+]([O-])=O)=C1)[O-],561.76, 10.1002/prep.201700119
entry87,"N,N'-([5,5'-bi(1,2,4-oxadiazole)]-3,3'-diylbis(1,2,5-oxadiazole-4,3-diyl))bis(N-(2,2,2-trinitroethyl)nitramide)",O=[N+](NC1=NC(CC2=NOC(N[N+]([O-])=O)=N2)=NO1)[O-],425.15,10.1039/c9nj00421a
entry88,"N,N'-([3,3'-bi(1,2,5-oxadiazole)]-4,4'-diyl)dinitramide",O=[N+](NC1=NON=C1/N=N/C2=NON=C2N[N+]([O-])=O)[O-],395.15,10.1002/chem.201400362
entry89,"N,N'-([3,3'-bi(1,2,4-oxadiazole)]-5,5'-diyl)dinitramide",O=[N+](C1=C(N=[N+]=[N-])NC(C2=NC([N+]([O-])=O)=C(N=[N+]=[N-])N2)=N1)[O-],355.15,10.1016/j.fpc.2021.09.003
entry90,"N,N'-([2,2'-bi(1,3,4-oxadiazole)]-5,5'-diylbis(1,2,5-oxadiazole-4,3-diyl))dinitramide",O=[N+](N(CCN(C1=NON=C1C2=NN=NN2)[N+]([O-])=O)C3=NON=C3C4=NN=NN4)[O-],436.15,10.1016/j.molstruc.2019.127358
entry91,"N,N'-([1,2,4]triazolo[4,3-b][1,2,4,5]tetrazine-3,6-diyl)dinitramide",N/C(NC1=NN=C(N/C(N)=N/[N+]([O-])=O)N=N1)=N\[N+]([O-])=O,539.08,10.11943 /j.issn.1006-9941.2014.06.011
entry92,"N,N'-((diazene-1,2-diylbis(1,3,4-oxadiazole-5,2-diyl))bis(1,2,5-oxadiazole-4,3-diyl))dinitramide",O=[N+](C1=C(C2=NNC(N2)=N[N+]([O-])=O)NN=C1C3=NNC(N3)=N[N+]([O-])=O)[O-],407.55,10.1039/c9nj01445d
entry93,"N,N'-((5,5'-dinitro-2H,2'H-[3,3'-bi(1,2,4-triazole)]-2,2'-diyl)bis(methylene))bis(N-methylnitramide)",O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NC(/N=N/C2=NNC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N2)=NN1)[O-],423.15,10.1021/ja2013455
entry94,"N,N'-((4-nitro-1H-pyrazole-3,5-diyl)bis(2,4-dihydro-3H-1,2,4-triazole-5-yl-3-ylidene))dinitramide",O=[N+](NC1=NN=C(N1)C2=NNC(C3=NNC(N[N+]([O-])=O)=N3)=NN2)[O-],424.15,10.1039/c9dt04426d
entry95,"N,N'-((3-nitro-5-oxo-1H-1,2,4-triazole-1,4(5H)-diyl)bis(methylene))bis(N-methylnitramide)",O=[N+](C(COC1=NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NC(OC)=N1)([N+]([O-])=O)[N+]([O-])=O)[O-],446.85,10.1039/c6ra05826d
entry96,"N,N'-((2H-1,2,3-triazole-4,5-diyl)bis(1H-1,2,4-triazole-3,5-diyl))dinitramide",NN1C(N)=NN=C1C2=NNN=C2C3=NN=C(N)N3N,531.15,10.1016/j.cej.2020.128021
entry97,"N,N'-((1H-pyrazole-3,5-diyl)bis(4H-1,2,4-triazole-5,3-diyl))dinitramide",O=[N+](C1=NNN=C1NC2=NN=NN2)[O-],581.15,10.1039/d1ta00109d
entry98,"N,N'-((1,3,4-oxadiazole-2,5-diyl)bis(1,2,5-oxadiazole-4,3-diyl))dinitramide",[N-]=[N+]=NC1=NON=C1C2=NN=C(C3=NON=C3N=[N+]=[N-])O2,442.15,10.1002/anie.202014207
